,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,26.8,26.8,26.7,26.6,26.6,26.4,26.8,27.7,28.9,29.3,29.8,29.4,29.8,28.2,28.1,26.1,26.7,26.3,26.1,25.5,25.9,26.1,26.2,26,27.2
2,26.1,25.9,26,26,26.2,26.4,26.6,26.3,26.3,25.8,26.8,26.7,26.9,27.6,27.5,27.5,27.1,26.2,26.3,25.9,25.8,25.6,25.7,25.4,26.4
3,25.3,25.3,25,25,24,24.1,25,25.6,25.9,25,24.6,24.2,24.5,24.9,25.3,25.5,25.6,25.5,26.3,26.5,26.4,26.6,26.6,25.5,25.3
4,26.3,26.6,26.4,26.3,26.4,26.6,26.7,26.9,27,26.3,26.3,26.7,26.4,25.8,25.8,26.1,26.1,26.5,26,26.1,25.8,25.6,25.6,25.2,26.2
5,25,25,25.2,24.9,25.1,25.2,25.5,26.5,27.2,27.8,28.3,28.6,28,27,27.5,28,26.7,26.4,25.1,24.9,25.2,25.8,26,26.6,26.3
6,27.4,27,26.3,26.7,26.1,26.2,26.2,27.5,27.2,26.5,26.3,27.7,28,27.5,27.9,28.3,27.6,27.3,27.1,26.5,26.3,26.4,26.1,25.6,26.9
7,25.8,26.2,26.8,26.2,25.9,26,26,26.8,28.1,29.4,29.3,29.5,30,30.6,30.3,28.8,27.5,26.9,26.9,26.2,26.1,25.6,24.9,25.1,27.1
8,25,25.1,25,24.9,24.7,24.2,24.4,24.8,25.6,25.4,25.5,25.5,26.1,25.6,25.9,24.8,24.7,24.2,24.2,24.5,24.5,24.5,24.7,24.5,24.9
9,24.4,24.3,24.1,24.1,24,24.4,24.6,24.5,24.8,24.1,24.3,25.1,24.7,24.5,24.7,24.2,24,23.9,23.8,23.6,23.4,23.5,23.5,23.2,24.2
10,23.1,23,23.1,23.1,22.8,23,22.9,23.2,23.4,23.7,24.3,25.3,24.7,24.1,23.8,23.9,23.9,23.8,23.5,23.3,22.9,22.9,22.5,22.2,23.4
11,22.4,22.1,22,22.3,22.6,22.5,23.1,23.4,23.3,23.2,25,25.4,26.2,25.9,25.8,25.1,25.4,24,23,22.9,23.1,23.2,23.2,23.5,23.6
12,23.6,23.7,23.6,23.4,23.1,23.3,23.7,24,25,26.3,27.2,27.3,26.8,26.9,27.4,26.7,25.9,25.2,24.6,24.4,24.2,24.2,24.2,24.1,25
13,23.9,23.9,23.7,23.5,23.5,23.5,23.8,24.7,25.6,25.8,26.3,27.2,26.3,26,25.8,25.5,25.3,24.6,24.2,23.8,23.8,23.7,23.3,23.3,24.6
14,23,23.1,23.2,23.3,23.6,23.8,23.9,24.1,24.7,25,25.5,26.4,25.2,23,22.7,22.9,23.2,23.3,23,23.1,23.1,23.3,23.2,23.1,23.7
15,22.9,22.9,22.7,22.7,22.9,23.2,23.4,24.2,24.5,25.6,26.6,27.1,26.9,26.1,25.1,25.4,24.7,24.1,23.7,23.7,23.7,23.4,23,23,24.2
16,23.3,23.2,23.1,23.1,23.3,23.4,23.7,24.2,24.8,25.8,26.7,27.1,26.6,26.6,26.1,25.8,25,24.3,23.9,23.5,23.5,23.4,23.1,23.1,24.4
17,22.9,22.9,22.8,22.8,22.7,23,23.1,23.5,24.3,25.3,26.2,26.1,26.5,26.6,26,25.5,25.1,24.6,24.4,24.5,24.3,24.3,24.3,24.2,24.4
18,24.5,24.4,24.3,24.2,24.2,24.2,24.7,26.4,27.2,28.7,29.3,29.2,29.4,29.2,29.5,28.2,27.6,26.9,26.5,26.4,26,26.1,26.3,26.3,26.7
19,26.3,26.3,25.5,25.1,24.8,24.2,25.3,27.5,28.2,29.3,29.6,30.6,31.1,30.6,30.1,29.2,28,28.1,27.9,27.6,27.3,27.2,27.1,26.9,27.7
20,26.4,26.1,25.9,25.7,25.4,25.5,25.7,26.5,27.3,27.6,27.8,27.1,25.8,24.2,22.9,23.3,22.9,22.3,22.1,21.9,21.7,21.5,21.2,21.1,24.5
21,19.7,20,19.9,20.4,19.9,20.8,21,21.5,20.4,19.9,20.8,21.2,21,21.4,21.6,22.3,22,21,22,21.4,21.4,20.5,19.8,21.4,20.8
22,21.8,21.2,21.1,21.1,21.2,22.1,21.9,22,22.1,21.8,22.5,23.4,23.8,23.9,24,24.1,23.9,23.6,23.6,23.7,23.4,23.3,23.4,23.6,22.8
23,23.5,23.3,23.4,23.5,23.5,23.9,24.1,25.2,25.8,26.7,27.6,28.2,27.3,27.5,26.8,25.6,25.3,24.9,24.6,24.6,24.7,24.4,24.4,24.6,25.1
24,24.6,24.2,23.7,23.7,23.9,24.2,24.9,26.1,27.4,28.4,30.2,30,31,29.3,27.8,26.6,25.7,25.2,24.8,25,25,24.9,24.7,24.5,26.1
25,24.5,24.7,24.6,24.5,24.3,24.2,24.5,25.2,26,27.2,29,28.1,27.6,27.7,27.1,26.7,25.8,25.1,24.8,24.6,24.3,24.2,23.8,23.8,25.5
26,23.6,23.3,23.2,23.2,23.2,23.1,24,25.5,26.1,27.7,28.6,29.4,30.1,29.3,28.2,27.2,26.1,25.8,25.3,25.1,25,25,24.9,24.7,25.7
27,24.5,24.4,24.3,24.3,24.1,24.1,23.7,23.7,23.7,24.2,24.5,25.1,23.6,23,22.2,22,21.8,21.9,21.7,21.7,22.4,22.7,22.7,23.1,23.3
28,22.7,22.8,23.2,21.7,22,21.3,19.7,19.4,20.2,19.5,19.6,20.3,20.8,19.9,21.1,21.5,21.5,21.3,21.8,22.5,22.4,21.9,21.8,21.8,21.3
29,22,22,21.7,21.9,22,21.8,21.7,22.1,22.1,22.2,22.3,22.4,23,23.9,23.1,22.5,22.6,22.4,22.4,22.4,22.3,22.2,22.3,22.2,22.3
30,22.1,22,22.1,22.1,22.1,22,22.2,22.8,24,24.9,25.6,25.5,25.5,26.3,25.5,24.8,24.1,23.5,23,23.2,23.4,23,22.6,22.8,23.5
31,22.1,22.4,22,21.8,22.1,21.6,21.7,22,23.1,24.6,24.9,24.2,25.3,24.2,23.8,23.8,23.5,23.4,23.3,23.4,22.3,22.7,21.5,22.2,23
平均,24.1,24,23.8,23.8,23.7,23.8,24,24.6,25.2,25.6,26.2,26.4,26.3,26,25.8,25.4,25,24.6,24.5,24.3,24.2,24.1,24,24,平均
