日/時,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,平均
1,22.1,22.2,22.4,22.3,22.3,22.3,22.4,24,24.4,25.6,26.5,27.4,27.2,27.3,26.4,26,25.4,24.8,24.5,24.5,24.1,23.8,23.4,23.3,24.4
2,23.4,23.5,23.5,23.3,23.6,23.6,23.7,25.7,26.4,29,29.4,29.3,29.4,29.8,30,28,28,27.1,26.6,25.9,25.7,25.5,25.5,24.8,26.3
3,24.3,23.6,23,23.2,22.9,22.5,22.6,23.3,24.5,27.9,29.7,30.2,29.3,29.1,28.6,27.1,26.9,26.5,25.9,25.7,25.8,25.4,25.3,25.8,25.8
4,24.6,24.6,24.6,24.4,23.9,23.6,24.2,26.8,26.2,30,30.6,30.3,31.2,30.9,31.5,30.2,28.9,27.4,27.1,26.4,26,25.5,26.1,25.7,27.2
5,25.7,25.4,24.7,24.5,23.9,24,25.1,26,26.4,29.1,29.9,30.8,32.7,30.9,31.2,30.8,29.1,27.5,27,26.6,26,26,25.5,25,27.2
6,23.6,24.1,23.8,23.3,23.4,23.2,24,26.2,26.4,29.3,30,31.1,30.1,29,29.3,27.3,25.6,24.4,23.8,22.8,22.1,21.9,21.4,20.8,25.4
7,21,21.3,21.6,21.7,21.8,21.7,21.7,22.2,22.3,23,23.4,22.9,23.2,23.3,23,22.7,22.3,22.7,22.6,22.8,22.4,22.2,22.2,22.3,22.3
8,22.4,22.3,22.3,22.3,22.3,22.4,22.7,24.7,25.3,26.8,27.2,28.6,28.5,28.7,28.1,27.9,26.4,25.4,25.1,25,24.6,24.5,24.2,24.2,25.1
9,23.9,24.3,24.3,24.1,23.9,23.7,24.5,25.4,26.5,28.2,28.7,28.8,30.8,31,30.6,29.3,28.3,27.7,27.4,27.1,26.6,26.5,25.7,25.4,26.8
10,24.8,24.4,24.2,24.1,23.8,24,24.4,24.7,26.6,29.3,29.5,30.5,27.5,26,24.1,23.7,23.1,22.7,22.1,22.8,22.8,22.2,21.9,21.7,24.6
11,21.6,21.5,21.2,21,20.8,20.7,20.8,21,21.4,22.9,22.5,22.4,22,22,21.6,21.6,21.2,21.1,21.1,21.3,21.2,20.8,20.8,20.9,21.3
12,21,21.1,21.2,21.2,21.1,21.2,21.1,21.2,21,20.8,21.1,20.3,20.9,21.5,19.1,19.4,19,19.1,18.9,18.7,18.6,18.7,18.1,18,20.1
13,17.4,17.3,17.3,17.2,17.3,17.3,17.2,17.2,17.3,17,16.6,17,16.7,16.7,17.3,17.3,17.3,17.2,17.3,17.3,17.5,17.6,17.2,17.7,17.2
14,17.8,18,17.9,18.3,18,18.6,18.2,18.3,18.5,18.4,17.9,17.6,17.7,18,18.4,18.2,18,17.5,17.7,17.8,17.5,17.8,17.6,17.5,18
15,17.8,17.7,17.7,17.6,18.1,18.2,18.3,18,18.6,19.5,20.7,21.1,21.5,21.1,21.1,21.7,21.2,19.6,19.7,19.8,19.6,19.5,19.8,19.8,19.5
16,20.7,21.1,21.5,21.7,21.8,21.3,22,22.4,23.4,24.9,24,22,22,22.1,22,22,19.1,17.8,17.8,17.3,17.2,17.4,17.4,17.2,20.6
17,16.3,16.4,17.1,17.3,16.3,16.7,17.1,17.3,17.4,17.2,17.9,19.1,18.9,18.6,18.2,17.5,16.8,16.5,16.6,15.7,15.4,15.4,15.2,14.7,16.9
18,14.4,14.2,13.7,13.6,13.5,13.2,13.2,16,16.4,17.8,18.4,19,18.6,18.5,17.9,17.3,17.2,16.7,16.4,16.3,16.3,16.1,16,16,16.1
19,16.5,15.3,15.4,14.9,14.7,14.6,15.7,17.9,18,20.1,21.9,21.7,22.4,22,22.1,21.3,19.6,18.9,18.5,18.3,17.8,17.6,17.6,17.5,18.3
20,17.5,17.4,17.6,17.5,17.6,17.9,18.2,19.1,20.4,21.6,22.3,22.7,22.5,22.8,22.2,21.7,21.2,20.7,20.2,19.8,19.7,19.8,19.9,20.6,20
21,19.9,19.5,19.5,19.6,19.9,19.5,20.1,21.7,22.4,24.4,24.8,24.9,25.5,25.3,25.3,24.6,23.6,23,22.1,21.9,21.8,21.6,21.7,21.8,22.3
22,21.4,21.2,21,20.8,20.6,20.9,21,22.3,23.2,25.6,26.7,27.7,27.1,26.7,26.1,25,24.2,23.3,23.2,22.5,22,21.7,21.4,21.4,23.1
23,21.2,21.1,20.6,19.6,19.2,18.8,19.1,21.6,21.8,25.6,26.5,26.6,27.1,26.3,24.9,24,22.8,22.6,21.6,21.2,20.9,20.7,19.9,20.8,22.3
24,19.8,20.2,20.8,20.8,20.3,19.1,19.5,20.7,20.4,18.9,19,19.4,19.3,19.1,18.9,18.9,18.8,18.9,18.1,17.4,18,18.3,18.4,18.5,19.2
25,18.7,18.8,18.5,18.5,18.4,18.2,18.9,18.1,18.5,19,19.8,19.5,19.2,19,19,18.4,17.9,17.8,17.9,18,18.4,18.4,18.7,18.5,18.6
26,18.5,18.6,18.9,18.9,18.9,18.4,18.1,18.3,18.9,18.9,19,19.1,19.2,19.1,19,18.8,19,19.2,19.2,19.7,19.8,20.6,20.8,20.8,19.2
27,19.5,19,19.4,19.7,19.5,19.5,19.7,21.1,21.5,22,22.4,23,23.1,22.9,22.8,22.6,21.8,19.7,19.7,19.7,20.3,19.7,19.5,19.3,20.8
28,19.2,19.5,19.4,19.1,19.1,18.9,19.1,21,21.5,22.8,22.9,23.4,23.6,23.5,22.9,22.7,21.6,21,20.9,20.9,21,21,21.2,21.2,21.1
29,21.2,21,20.9,21.3,21.6,21.7,22.1,22.1,23.4,24.6,26.1,26.8,27,26.3,26,24.8,23.4,24.3,24.3,23.8,23.5,22.9,22.8,22.4,23.5
30,21.9,22.3,21.5,21.8,21.7,21.3,20.4,18.8,18.5,18.6,18..6,18.6,18.7,18.9,18.5,18,17.9,17.9,17.5,17.6,17.6,17.8,17.5,17.4,19.2
平均,20.5,20.6,20.5,20.5,20.3,20.2,20.5,21.5,21.9,23.3,24,24.1,24.1,23.9,23.5,22.9,22.2,21.6,21.4,21.2,20.8,20.9,20.8,20.7,平均
