id,sbi
20231204_500101001_00:00,3.8909457
20231204_500101001_00:20,7.4129467
20231204_500101001_00:40,9.862274
20231204_500101001_01:00,11.465991
20231204_500101001_01:20,12.558275
20231204_500101001_01:40,13.324941
20231204_500101001_02:00,13.87203
20231204_500101001_02:20,14.261185
20231204_500101001_02:40,14.529762
20231204_500101001_03:00,14.701278
20231204_500101001_03:20,14.790619
20231204_500101001_03:40,14.806583
20231204_500101001_04:00,14.752641
20231204_500101001_04:20,14.62665
20231204_500101001_04:40,14.420003
20231204_500101001_05:00,14.116955
20231204_500101001_05:20,13.678947
20231204_500101001_05:40,13.142935
20231204_500101001_06:00,12.45028
20231204_500101001_06:20,11.635599
20231204_500101001_06:40,10.686343
20231204_500101001_07:00,9.831359
20231204_500101001_07:20,8.795871
20231204_500101001_07:40,7.95927
20231204_500101001_08:00,7.3622756
20231204_500101001_08:20,7.0999255
20231204_500101001_08:40,6.7611485
20231204_500101001_09:00,6.5098133
20231204_500101001_09:20,6.343499
20231204_500101001_09:40,6.2446766
20231204_500101001_10:00,6.14895
20231204_500101001_10:20,6.0832157
20231204_500101001_10:40,6.0342684
20231204_500101001_11:00,6.0153456
20231204_500101001_11:20,5.9935336
20231204_500101001_11:40,5.955933
20231204_500101001_12:00,5.9687653
20231204_500101001_12:20,5.946527
20231204_500101001_12:40,5.987836
20231204_500101001_13:00,5.924583
20231204_500101001_13:20,5.89737
20231204_500101001_13:40,5.8974295
20231204_500101001_14:00,5.873169
20231204_500101001_14:20,5.878274
20231204_500101001_14:40,5.857364
20231204_500101001_15:00,5.846367
20231204_500101001_15:20,5.884212
20231204_500101001_15:40,5.942234
20231204_500101001_16:00,5.965749
20231204_500101001_16:20,5.986684
20231204_500101001_16:40,6.0510335
20231204_500101001_17:00,6.0680847
20231204_500101001_17:20,6.087251
20231204_500101001_17:40,6.0771084
20231204_500101001_18:00,6.091699
20231204_500101001_18:20,6.1237373
20231204_500101001_18:40,6.007187
20231204_500101001_19:00,5.9605904
20231204_500101001_19:20,5.9055
20231204_500101001_19:40,5.886799
20231204_500101001_20:00,5.8828073
20231204_500101001_20:20,5.896405
20231204_500101001_20:40,5.872479
20231204_500101001_21:00,5.899408
20231204_500101001_21:20,5.9078875
20231204_500101001_21:40,5.9857144
20231204_500101001_22:00,5.8882113
20231204_500101001_22:20,5.8438787
20231204_500101001_22:40,5.90272
20231204_500101001_23:00,5.8296895
20231204_500101001_23:20,5.81172
20231204_500101001_23:40,5.8271203
20231204_500101002_00:00,0.25735554
20231204_500101002_00:20,1.5531172
20231204_500101002_00:40,2.9269218
20231204_500101002_01:00,4.023575
20231204_500101002_01:20,4.8083553
20231204_500101002_01:40,5.3254066
20231204_500101002_02:00,5.6172
20231204_500101002_02:20,5.762665
20231204_500101002_02:40,5.807506
20231204_500101002_03:00,5.7852635
20231204_500101002_03:20,5.7192307
20231204_500101002_03:40,5.63818
20231204_500101002_04:00,5.53501
20231204_500101002_04:20,5.4196644
20231204_500101002_04:40,5.2851954
20231204_500101002_05:00,5.1549096
20231204_500101002_05:20,5.0296264
20231204_500101002_05:40,4.9106455
20231204_500101002_06:00,4.7985463
20231204_500101002_06:20,4.707088
20231204_500101002_06:40,4.64415
20231204_500101002_07:00,4.586899
20231204_500101002_07:20,4.514598
20231204_500101002_07:40,4.3527217
20231204_500101002_08:00,4.2163677
20231204_500101002_08:20,4.1245174
20231204_500101002_08:40,4.0501823
20231204_500101002_09:00,3.9897108
20231204_500101002_09:20,3.939036
20231204_500101002_09:40,3.895418
20231204_500101002_10:00,3.8569877
20231204_500101002_10:20,3.8224971
20231204_500101002_10:40,3.777195
20231204_500101002_11:00,3.7402093
20231204_500101002_11:20,3.7086594
20231204_500101002_11:40,3.6813376
20231204_500101002_12:00,3.664116
20231204_500101002_12:20,3.6393409
20231204_500101002_12:40,3.6314583
20231204_500101002_13:00,3.6125762
20231204_500101002_13:20,3.6016946
20231204_500101002_13:40,3.5743723
20231204_500101002_14:00,3.551742
20231204_500101002_14:20,3.531836
20231204_500101002_14:40,3.5141816
20231204_500101002_15:00,3.498206
20231204_500101002_15:20,3.4904199
20231204_500101002_15:40,3.5713596
20231204_500101002_16:00,3.6555648
20231204_500101002_16:20,3.755434
20231204_500101002_16:40,3.7639766
20231204_500101002_17:00,3.7587583
20231204_500101002_17:20,3.7360861
20231204_500101002_17:40,3.787051
20231204_500101002_18:00,3.8472652
20231204_500101002_18:20,3.7642038
20231204_500101002_18:40,3.568397
20231204_500101002_19:00,3.4271603
20231204_500101002_19:20,3.3480084
20231204_500101002_19:40,3.3049972
20231204_500101002_20:00,3.2656446
20231204_500101002_20:20,3.2635741
20231204_500101002_20:40,3.2900681
20231204_500101002_21:00,3.3266778
20231204_500101002_21:20,3.3406713
20231204_500101002_21:40,3.360718
20231204_500101002_22:00,3.2998595
20231204_500101002_22:20,3.2534535
