id,sbi
20231206_500101001_00:00,11.448564
20231206_500101001_00:20,15.939922
20231206_500101001_00:40,14.538715
20231206_500101001_01:00,12.378958
20231206_500101001_01:20,11.125302
20231206_500101001_01:40,10.545245
20231206_500101001_02:00,10.347719
20231206_500101001_02:20,10.733495
20231206_500101001_02:40,11.399196
20231206_500101001_03:00,12.501422
20231206_500101001_03:20,13.981591
20231206_500101001_03:40,15.571645
20231206_500101001_04:00,16.998798
20231206_500101001_04:20,18.156002
20231206_500101001_04:40,19.086147
20231206_500101001_05:00,19.909786
20231206_500101001_05:20,20.745949
20231206_500101001_05:40,21.613775
20231206_500101001_06:00,22.465757
20231206_500101001_06:20,23.002642
20231206_500101001_06:40,21.135258
20231206_500101001_07:00,19.152327
20231206_500101001_07:20,11.596158
20231206_500101001_07:40,5.921366
20231206_500101001_08:00,3.0876386
20231206_500101001_08:20,2.1217597
20231206_500101001_08:40,1.7846832
20231206_500101001_09:00,1.7197136
20231206_500101001_09:20,1.7548478
20231206_500101001_09:40,1.6250137
20231206_500101001_10:00,1.5099365
20231206_500101001_10:20,1.4935207
20231206_500101001_10:40,1.5802624
20231206_500101001_11:00,1.5719397
20231206_500101001_11:20,1.9298662
20231206_500101001_11:40,1.8280442
20231206_500101001_12:00,1.8694795
20231206_500101001_12:20,2.3008747
20231206_500101001_12:40,2.2032866
20231206_500101001_13:00,2.2082567
20231206_500101001_13:20,2.408628
20231206_500101001_13:40,2.8288608
20231206_500101001_14:00,3.5876038
20231206_500101001_14:20,4.947432
20231206_500101001_14:40,7.1648846
20231206_500101001_15:00,9.876638
20231206_500101001_15:20,13.095302
20231206_500101001_15:40,15.366111
20231206_500101001_16:00,16.63409
20231206_500101001_16:20,17.58164
20231206_500101001_16:40,18.284636
20231206_500101001_17:00,19.426222
20231206_500101001_17:20,20.540482
20231206_500101001_17:40,18.905285
20231206_500101001_18:00,15.265039
20231206_500101001_18:20,8.789231
20231206_500101001_18:40,4.317007
20231206_500101001_19:00,2.6899872
20231206_500101001_19:20,2.1108365
20231206_500101001_19:40,2.2903137
20231206_500101001_20:00,2.539909
20231206_500101001_20:20,2.9653819
20231206_500101001_20:40,2.6304216
20231206_500101001_21:00,2.3927238
20231206_500101001_21:20,3.0383842
20231206_500101001_21:40,2.9615057
20231206_500101001_22:00,2.9895468
20231206_500101001_22:20,3.4164627
20231206_500101001_22:40,4.611036
20231206_500101001_23:00,7.5430255
20231206_500101001_23:20,10.374152
20231206_500101001_23:40,12.732531
20231206_500101002_00:00,4.254647
20231206_500101002_00:20,6.423429
20231206_500101002_00:40,6.863445
20231206_500101002_01:00,6.899907
20231206_500101002_01:20,6.832971
20231206_500101002_01:40,6.779737
20231206_500101002_02:00,6.6223245
20231206_500101002_02:20,6.482566
20231206_500101002_02:40,6.313075
20231206_500101002_03:00,6.182293
20231206_500101002_03:20,6.0680428
20231206_500101002_03:40,5.9342003
20231206_500101002_04:00,5.752424
20231206_500101002_04:20,5.5481725
20231206_500101002_04:40,5.316677
20231206_500101002_05:00,5.198437
20231206_500101002_05:20,5.2084618
20231206_500101002_05:40,5.301518
20231206_500101002_06:00,5.3176594
20231206_500101002_06:20,5.0790396
20231206_500101002_06:40,4.1424785
20231206_500101002_07:00,3.928165
20231206_500101002_07:20,4.1501794
20231206_500101002_07:40,4.1794267
20231206_500101002_08:00,1.3956633
20231206_500101002_08:20,-0.22344816
20231206_500101002_08:40,-0.650599
20231206_500101002_09:00,-0.63153845
20231206_500101002_09:20,-0.5145345
20231206_500101002_09:40,-0.36565524
20231206_500101002_10:00,-0.20760605
20231206_500101002_10:20,-0.045974802
20231206_500101002_10:40,0.116599746
20231206_500101002_11:00,0.27464893
20231206_500101002_11:20,0.42588896
20231206_500101002_11:40,0.5751941
20231206_500101002_12:00,0.6976246
20231206_500101002_12:20,0.78804594
20231206_500101002_12:40,0.84628254
20231206_500101002_13:00,0.8385548
20231206_500101002_13:20,0.78806704
20231206_500101002_13:40,0.7591827
20231206_500101002_14:00,0.83570856
20231206_500101002_14:20,1.0756222
20231206_500101002_14:40,1.4961271
20231206_500101002_15:00,2.077254
20231206_500101002_15:20,2.8298903
20231206_500101002_15:40,3.7431707
20231206_500101002_16:00,4.793938
20231206_500101002_16:20,6.066279
20231206_500101002_16:40,8.029729
20231206_500101002_17:00,9.412686
20231206_500101002_17:20,10.090184
20231206_500101002_17:40,11.434614
20231206_500101002_18:00,11.232309
20231206_500101002_18:20,9.345349
20231206_500101002_18:40,5.822573
20231206_500101002_19:00,1.8128574
20231206_500101002_19:20,0.8313003
