id,sbi
20231021_500101001_00:00,3.715009
20231021_500101001_00:20,7.6003313
20231021_500101001_00:40,10.222056
20231021_500101001_01:00,11.709378
20231021_500101001_01:20,12.462438
20231021_500101001_01:40,12.789257
20231021_500101001_02:00,12.874611
20231021_500101001_02:20,12.81478
20231021_500101001_02:40,12.66631
20231021_500101001_03:00,12.461006
20231021_500101001_03:20,12.224635
20231021_500101001_03:40,11.971981
20231021_500101001_04:00,11.712313
20231021_500101001_04:20,11.493701
20231021_500101001_04:40,11.258973
20231021_500101001_05:00,11.005214
20231021_500101001_05:20,10.736665
20231021_500101001_05:40,10.456467
20231021_500101001_06:00,10.140815
20231021_500101001_06:20,9.751218
20231021_500101001_06:40,9.272787
20231021_500101001_07:00,8.754176
20231021_500101001_07:20,8.269154
20231021_500101001_07:40,7.862622
20231021_500101001_08:00,7.549294
20231021_500101001_08:20,7.3446794
20231021_500101001_08:40,7.1848373
20231021_500101001_09:00,7.0663385
20231021_500101001_09:20,6.984181
20231021_500101001_09:40,6.932924
20231021_500101001_10:00,6.9072657
20231021_500101001_10:20,6.8824935
20231021_500101001_10:40,6.8568606
20231021_500101001_11:00,6.828397
20231021_500101001_11:20,6.8254466
20231021_500101001_11:40,6.8417444
20231021_500101001_12:00,6.86984
20231021_500101001_12:20,6.884591
20231021_500101001_12:40,6.900866
20231021_500101001_13:00,6.884158
20231021_500101001_13:20,6.8517704
20231021_500101001_13:40,6.8320184
20231021_500101001_14:00,6.8075447
20231021_500101001_14:20,6.799326
20231021_500101001_14:40,6.8007936
20231021_500101001_15:00,6.810699
20231021_500101001_15:20,6.8052545
20231021_500101001_15:40,6.7818484
20231021_500101001_16:00,6.7829733
20231021_500101001_16:20,6.8004394
20231021_500101001_16:40,6.8272476
20231021_500101001_17:00,6.8390408
20231021_500101001_17:20,6.8213544
20231021_500101001_17:40,6.8104525
20231021_500101001_18:00,6.8100147
20231021_500101001_18:20,6.7951818
20231021_500101001_18:40,6.793035
20231021_500101001_19:00,6.780653
20231021_500101001_19:20,6.756238
20231021_500101001_19:40,6.757419
20231021_500101001_20:00,6.7540693
20231021_500101001_20:20,6.759925
20231021_500101001_20:40,6.758352
20231021_500101001_21:00,6.7503414
20231021_500101001_21:20,6.741533
20231021_500101001_21:40,6.732564
20231021_500101001_22:00,6.717412
20231021_500101001_22:20,6.706859
20231021_500101001_22:40,6.700227
20231021_500101001_23:00,6.698951
20231021_500101001_23:20,6.6952405
20231021_500101001_23:40,6.7347016
20231021_500101002_00:00,3.879926
20231021_500101002_00:20,6.0110846
20231021_500101002_00:40,6.6731834
20231021_500101002_01:00,6.687261
20231021_500101002_01:20,6.6146164
20231021_500101002_01:40,6.546837
20231021_500101002_02:00,6.5121083
20231021_500101002_02:20,6.4928937
20231021_500101002_02:40,6.50342
20231021_500101002_03:00,6.5189486
20231021_500101002_03:20,6.5745263
20231021_500101002_03:40,6.6468782
20231021_500101002_04:00,6.7378774
20231021_500101002_04:20,6.851487
20231021_500101002_04:40,6.9939494
20231021_500101002_05:00,7.241875
20231021_500101002_05:20,7.560418
20231021_500101002_05:40,7.990485
20231021_500101002_06:00,8.498257
20231021_500101002_06:20,9.048498
20231021_500101002_06:40,9.514511
20231021_500101002_07:00,9.727977
20231021_500101002_07:20,9.702499
20231021_500101002_07:40,9.409092
20231021_500101002_08:00,8.801945
20231021_500101002_08:20,8.081585
20231021_500101002_08:40,7.3370748
20231021_500101002_09:00,6.5679107
20231021_500101002_09:20,5.974107
20231021_500101002_09:40,5.5090537
20231021_500101002_10:00,5.1768007
20231021_500101002_10:20,4.841145
20231021_500101002_10:40,4.515276
20231021_500101002_11:00,4.119287
20231021_500101002_11:20,3.6568563
20231021_500101002_11:40,3.286221
20231021_500101002_12:00,2.8445086
20231021_500101002_12:20,2.6702223
20231021_500101002_12:40,2.7419834
20231021_500101002_13:00,2.7966137
20231021_500101002_13:20,2.9872375
20231021_500101002_13:40,3.1572707
20231021_500101002_14:00,3.259919
20231021_500101002_14:20,3.3638163
20231021_500101002_14:40,3.5605435
20231021_500101002_15:00,3.8939092
20231021_500101002_15:20,4.203099
20231021_500101002_15:40,4.2911777
20231021_500101002_16:00,4.339303
20231021_500101002_16:20,4.4963713
20231021_500101002_16:40,4.8619294
20231021_500101002_17:00,5.182452
20231021_500101002_17:20,5.425021
20231021_500101002_17:40,5.588763
20231021_500101002_18:00,5.6862936
20231021_500101002_18:20,5.812294
20231021_500101002_18:40,5.838492
20231021_500101002_19:00,5.929319
20231021_500101002_19:20,5.9093485
20231021_500101002_19:40,5.9139066
20231021_500101002_20:00,5.918717
20231021_500101002_20:20,5.9007807
20231021_500101002_20:40,5.887008
20231021_500101002_21:00,5.877709
20231021_500101002_21:20,5.897442
20231021_500101002_21:40,5.868897
20231021_500101002_22:00,5.8191004
20231021_500101002_22:20,5.775661
20231021_500101002_22:40,5.7401114
20231021_500101002_23:00,5.7127852
20231021_500101002_23:20,5.693111
20231021_500101002_23:40,5.7083473
20231021_500101003_00:00,6.221188
20231021_500101003_00:20,11.095711
20231021_500101003_00:40,13.864832
20231021_500101003_01:00,15.342749
20231021_500101003_01:20,16.169388
20231021_500101003_01:40,16.670694
20231021_500101003_02:00,16.986189
20231021_500101003_02:20,17.164291
20231021_500101003_02:40,17.216917
20231021_500101003_03:00,17.152924
20231021_500101003_03:20,16.992176
20231021_500101003_03:40,16.76279
20231021_500101003_04:00,16.493252
20231021_500101003_04:20,16.207333
20231021_500101003_04:40,15.922455
20231021_500101003_05:00,15.608214
20231021_500101003_05:20,15.309815
20231021_500101003_05:40,15.034055
20231021_500101003_06:00,14.784554
20231021_500101003_06:20,14.561462
20231021_500101003_06:40,14.363028
20231021_500101003_07:00,14.186214
20231021_500101003_07:20,14.026951
20231021_500101003_07:40,13.842446
20231021_500101003_08:00,13.659836
20231021_500101003_08:20,13.474214
20231021_500101003_08:40,13.208863
20231021_500101003_09:00,12.8882675
20231021_500101003_09:20,12.545591
20231021_500101003_09:40,12.183641
20231021_500101003_10:00,11.731594
20231021_500101003_10:20,11.156347
20231021_500101003_10:40,10.449883
20231021_500101003_11:00,9.464413
20231021_500101003_11:20,8.108227
20231021_500101003_11:40,6.5430365
20231021_500101003_12:00,5.1796155
20231021_500101003_12:20,4.1906934
20231021_500101003_12:40,3.5074642
20231021_500101003_13:00,3.0614052
20231021_500101003_13:20,2.8777838
20231021_500101003_13:40,2.7172904
20231021_500101003_14:00,2.6052806
20231021_500101003_14:20,2.6291728
20231021_500101003_14:40,2.6900885
20231021_500101003_15:00,2.5411158
20231021_500101003_15:20,2.3935924
20231021_500101003_15:40,2.3031979
20231021_500101003_16:00,2.235313
20231021_500101003_16:20,2.1557944
20231021_500101003_16:40,2.1627297
20231021_500101003_17:00,2.2003284
20231021_500101003_17:20,2.257317
20231021_500101003_17:40,2.3561938
20231021_500101003_18:00,2.5103655
20231021_500101003_18:20,2.7253773
20231021_500101003_18:40,3.043517
20231021_500101003_19:00,3.3472033
20231021_500101003_19:20,3.702982
20231021_500101003_19:40,4.0061364
20231021_500101003_20:00,4.3299637
20231021_500101003_20:20,4.6717687
20231021_500101003_20:40,5.082737
20231021_500101003_21:00,5.568425
20231021_500101003_21:20,6.067985
20231021_500101003_21:40,6.5660167
20231021_500101003_22:00,7.0512805
20231021_500101003_22:20,7.5154643
20231021_500101003_22:40,7.952728
20231021_500101003_23:00,8.359413
20231021_500101003_23:20,8.733736
20231021_500101003_23:40,9.075432
20231021_500101004_00:00,2.8469014
20231021_500101004_00:20,4.943645
20231021_500101004_00:40,5.753483
20231021_500101004_01:00,5.7162776
20231021_500101004_01:20,5.486754
20231021_500101004_01:40,5.2474103
20231021_500101004_02:00,5.078892
20231021_500101004_02:20,4.7884727
20231021_500101004_02:40,4.5128837
20231021_500101004_03:00,4.2915874
20231021_500101004_03:20,4.135644
20231021_500101004_03:40,4.041759
20231021_500101004_04:00,3.9997888
20231021_500101004_04:20,3.9971113
20231021_500101004_04:40,4.0211873
20231021_500101004_05:00,4.060965
20231021_500101004_05:20,4.1075473
20231021_500101004_05:40,4.154351
20231021_500101004_06:00,3.990824
20231021_500101004_06:20,3.595903
20231021_500101004_06:40,3.0413961
20231021_500101004_07:00,2.6115115
20231021_500101004_07:20,2.0776587
20231021_500101004_07:40,1.7711571
20231021_500101004_08:00,1.710005
20231021_500101004_08:20,1.4766357
20231021_500101004_08:40,1.3221248
20231021_500101004_09:00,1.4662523
20231021_500101004_09:20,1.6454443
20231021_500101004_09:40,1.9834487
20231021_500101004_10:00,2.2205343
20231021_500101004_10:20,2.4206789
20231021_500101004_10:40,2.8079457
20231021_500101004_11:00,3.266262
20231021_500101004_11:20,3.7550762
20231021_500101004_11:40,4.2580576
20231021_500101004_12:00,4.4354315
20231021_500101004_12:20,5.267698
20231021_500101004_12:40,6.2895083
20231021_500101004_13:00,6.7539997
20231021_500101004_13:20,6.3651466
20231021_500101004_13:40,5.283751
20231021_500101004_14:00,3.0817702
20231021_500101004_14:20,1.2408237
20231021_500101004_14:40,0.60949373
20231021_500101004_15:00,0.53165567
20231021_500101004_15:20,0.71031123
20231021_500101004_15:40,0.97043425
20231021_500101004_16:00,1.6960392
20231021_500101004_16:20,2.1669538
20231021_500101004_16:40,2.7383647
20231021_500101004_17:00,3.3282683
20231021_500101004_17:20,3.6158876
20231021_500101004_17:40,3.7106006
20231021_500101004_18:00,3.8292341
20231021_500101004_18:20,3.5576663
20231021_500101004_18:40,3.8319924
20231021_500101004_19:00,4.3361187
20231021_500101004_19:20,4.7821646
20231021_500101004_19:40,3.7579033
20231021_500101004_20:00,2.7369874
20231021_500101004_20:20,2.0279937
20231021_500101004_20:40,1.4787388
20231021_500101004_21:00,1.5810698
20231021_500101004_21:20,2.0037358
20231021_500101004_21:40,2.2077897
20231021_500101004_22:00,2.472895
20231021_500101004_22:20,2.695263
20231021_500101004_22:40,2.854181
20231021_500101004_23:00,2.951042
20231021_500101004_23:20,2.9971545
20231021_500101004_23:40,3.0068552
20231021_500101005_00:00,1.976782
20231021_500101005_00:20,3.9851787
20231021_500101005_00:40,5.4027414
20231021_500101005_01:00,6.248807
20231021_500101005_01:20,6.701703
20231021_500101005_01:40,6.913796
20231021_500101005_02:00,6.9856806
20231021_500101005_02:20,6.9791546
20231021_500101005_02:40,6.931413
20231021_500101005_03:00,6.8591337
20231021_500101005_03:20,6.7800465
20231021_500101005_03:40,6.7019005
20231021_500101005_04:00,6.6287932
20231021_500101005_04:20,6.562484
20231021_500101005_04:40,6.5034347
20231021_500101005_05:00,6.4461966
20231021_500101005_05:20,6.395069
20231021_500101005_05:40,6.349779
20231021_500101005_06:00,6.3099146
20231021_500101005_06:20,6.274843
20231021_500101005_06:40,6.238661
20231021_500101005_07:00,6.2056017
20231021_500101005_07:20,6.1807804
20231021_500101005_07:40,6.1644096
20231021_500101005_08:00,6.156105
20231021_500101005_08:20,6.165334
20231021_500101005_08:40,6.166275
20231021_500101005_09:00,6.151291
20231021_500101005_09:20,6.1598597
20231021_500101005_09:40,6.1594706
20231021_500101005_10:00,6.1384735
20231021_500101005_10:20,6.115485
20231021_500101005_10:40,6.081887
20231021_500101005_11:00,6.069501
20231021_500101005_11:20,6.054763
20231021_500101005_11:40,6.046706
20231021_500101005_12:00,6.023876
20231021_500101005_12:20,5.9676313
20231021_500101005_12:40,5.901476
20231021_500101005_13:00,5.8263664
20231021_500101005_13:20,5.760191
20231021_500101005_13:40,5.699701
20231021_500101005_14:00,5.6456847
20231021_500101005_14:20,5.5682335
20231021_500101005_14:40,5.4870944
20231021_500101005_15:00,5.429655
20231021_500101005_15:20,5.3684187
20231021_500101005_15:40,5.3391047
20231021_500101005_16:00,5.3238907
20231021_500101005_16:20,5.2885785
20231021_500101005_16:40,5.247239
20231021_500101005_17:00,5.2016897
20231021_500101005_17:20,5.163336
20231021_500101005_17:40,5.138965
20231021_500101005_18:00,5.1389194
20231021_500101005_18:20,5.1351385
20231021_500101005_18:40,5.122073
20231021_500101005_19:00,5.135675
20231021_500101005_19:20,5.1392717
20231021_500101005_19:40,5.131765
20231021_500101005_20:00,5.149451
20231021_500101005_20:20,5.179598
20231021_500101005_20:40,5.206524
20231021_500101005_21:00,5.239617
20231021_500101005_21:20,5.257495
20231021_500101005_21:40,5.2701797
20231021_500101005_22:00,5.2706842
20231021_500101005_22:20,5.267751
20231021_500101005_22:40,5.2634144
20231021_500101005_23:00,5.2586
20231021_500101005_23:20,5.2536497
20231021_500101005_23:40,5.248659
20231021_500101006_00:00,-0.0010064475
20231021_500101006_00:20,0.2720698
20231021_500101006_00:40,0.6666931
20231021_500101006_01:00,1.0622728
20231021_500101006_01:20,1.4079067
20231021_500101006_01:40,1.6948438
20231021_500101006_02:00,1.9271902
20231021_500101006_02:20,2.1133919
20231021_500101006_02:40,2.2621183
20231021_500101006_03:00,2.3809497
20231021_500101006_03:20,2.4761043
20231021_500101006_03:40,2.5525403
20231021_500101006_04:00,2.6141608
20231021_500101006_04:20,2.6618223
20231021_500101006_04:40,2.6998453
20231021_500101006_05:00,2.7305665
20231021_500101006_05:20,2.7557602
20231021_500101006_05:40,2.7766275
20231021_500101006_06:00,2.7940397
20231021_500101006_06:20,2.8086572
20231021_500101006_06:40,2.8209963
20231021_500101006_07:00,2.8314693
20231021_500101006_07:20,2.8404117
20231021_500101006_07:40,2.8480961
20231021_500101006_08:00,2.8547475
20231021_500101006_08:20,2.8648047
20231021_500101006_08:40,2.8748035
20231021_500101006_09:00,2.8839965
20231021_500101006_09:20,2.889748
20231021_500101006_09:40,2.8938785
20231021_500101006_10:00,2.899142
20231021_500101006_10:20,2.904256
20231021_500101006_10:40,2.9047556
20231021_500101006_11:00,2.9040604
20231021_500101006_11:20,2.8988128
20231021_500101006_11:40,2.8997202
20231021_500101006_12:00,2.9045012
20231021_500101006_12:20,2.9106328
20231021_500101006_12:40,2.9167323
20231021_500101006_13:00,2.9157712
20231021_500101006_13:20,2.9130445
20231021_500101006_13:40,2.9078126
20231021_500101006_14:00,2.9029303
20231021_500101006_14:20,2.8990672
20231021_500101006_14:40,2.8964796
20231021_500101006_15:00,2.8907526
20231021_500101006_15:20,2.887464
20231021_500101006_15:40,2.8854048
20231021_500101006_16:00,2.888901
20231021_500101006_16:20,2.896071
20231021_500101006_16:40,2.9018373
20231021_500101006_17:00,2.9067802
20231021_500101006_17:20,2.9107969
20231021_500101006_17:40,2.9076824
20231021_500101006_18:00,2.8965724
20231021_500101006_18:20,2.8865619
20231021_500101006_18:40,2.8824522
20231021_500101006_19:00,2.88129
20231021_500101006_19:20,2.881987
20231021_500101006_19:40,2.8813345
20231021_500101006_20:00,2.8806992
20231021_500101006_20:20,2.8802557
20231021_500101006_20:40,2.8802161
20231021_500101006_21:00,2.8739731
20231021_500101006_21:20,2.8670454
20231021_500101006_21:40,2.8627965
20231021_500101006_22:00,2.860255
20231021_500101006_22:20,2.8591247
20231021_500101006_22:40,2.8589082
20231021_500101006_23:00,2.8615286
20231021_500101006_23:20,2.8671227
20231021_500101006_23:40,2.8799195
20231021_500101007_00:00,2.2115242
20231021_500101007_00:20,3.2995362
20231021_500101007_00:40,3.5165136
20231021_500101007_01:00,3.322983
20231021_500101007_01:20,3.0213559
20231021_500101007_01:40,2.75829
20231021_500101007_02:00,2.5823865
20231021_500101007_02:20,2.4950883
20231021_500101007_02:40,2.4753091
20231021_500101007_03:00,2.4996114
20231021_500101007_03:20,2.549276
20231021_500101007_03:40,2.6106844
20231021_500101007_04:00,2.6750867
20231021_500101007_04:20,2.7373657
20231021_500101007_04:40,2.7948546
20231021_500101007_05:00,2.846433
20231021_500101007_05:20,2.8918917
20231021_500101007_05:40,2.929748
20231021_500101007_06:00,2.9609547
20231021_500101007_06:20,2.9870884
20231021_500101007_06:40,3.0074031
20231021_500101007_07:00,3.0250466
20231021_500101007_07:20,3.040574
20231021_500101007_07:40,3.0542107
